accession	taxid
KX123531	1618945
KX123539	1618980
KX123540	1618756
KX123549	1618626
KX123555	1618642
KX123556	1618994
KX123557	1618811
KX123559	1618991
KX123561	1619000
KX123569	1618492
KX123571	1618816
KX123576	1618535
KX123581	1618584
KX123584	1618984
KX123588	1619027
KX123590	1618643
KX123592	1618466
KX123604	1619054
KX123607	1619034
KX123616	1619057
KX123619	1619065
KX123620	1619058
KX123621	1618454
KX123625	1618346
KX123629	1618944
KX123634	1618918
KX123636	1618635
KX213929	115547
KY364696	29205
KY770248	1960284
L06174	61
L10828	10228
L14326	546270
L40808	326298
L77117	243232
LARU01000002	1637998
LBLP01002047	9606
LBOM01000001	1618760
LBPE01000008	1619080
LBRP01000001	1618775
LBSF01000011	1619091
LBUW01000007	1618637
LBVI01000009	1618960
LBWJ01000011	1619062
LBWK01000001	1619100
LBWM01000003	1619067
LBWQ01000018	1618551
LC025527	1609276
LC072670	1701090
LC086660	77133
LC086674	77133
LC127084	636
LC133706	1818779
LC328545	2045279
LCAA01000005	1618943
LCAH01000003	1618985
LCBR01000016	1618869
LCCT01000003	1618952
LCDI01000005	1618627
LCEK01000024	1619052
LCFW01000014	1619068
LCHH01000004	1618757
LCHO01000019	1618829
LCID01000036	1618969
LCLH01000025	1619050
LCLP01000002	1618469
LCNU01000004	1618364
LCOU01000026	1618848
LCPF01000001	1618660
LCPX01000023	1618710
LCQK01000003	1618665
LCQX01000020	1618976
LDXN01000013	1640508
LDXP01000044	1640509
LF651704	712985
LFFM01006973	1627878
LJNP01000003	1703768
LJUC01000242	1703411
LK021130	55601
LN614756	1496
LN614830	451
LN681227	1437823
LN831027	76857
LN846995	83558
LN870770	77133
LN908249	754345
LN997848	1663591
LNVX01000212	1408204
LQMP01000030	1776333
LS483299	75985
LS483411	727
LS483423	43674
LS483426	504
LS483427	28264
LS483439	2148
LS483483	571
LS483498	582
LS483499	82987
LT549890	2287
LT594095	470
LT596221	633
LT629694	1798217
LT629776	545619
LT629784	1881061
LT838272	698762
LT838813	758820
LT841305	160808
LT854279	1276537
LT906453	1863
LT906475	34085
LT906482	539
LT934425	174633
LT993737	2756
LUTP01000101	1082703
M11223	358
M32703	3055
M35016	870
M38637	2303
M58791	70993
M59142	694440
M90801	638
M92991	5346
MCBF01000001	1878999
MELT01000136	1797206
MESY01000047	1797703
META01000003	1798535
METB01000001	1798536
METK01000005	1802376
MEVN01000034	1802630
MEWM01000072	1802784
MEYG01000109	1797290
MEZX01000002	1797471
MEZY01000050	1797472
MF092312	77133
MF449188	1409
MF461058	1873876
MFBU01000020	1797731
